,증상,제품명,효능,복용법
7,설사,"베부틴정(트리메부틴말레산염)(수출명:영일트리메부틴정,TRISPASMTab)","이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 1~2정(100~200 mg) 1일 3회 식전에 복용합니다.연령, 증상에 따라 적절히 증감합니다."
8,설사,티메틴정(트리메부틴말레산염)(수출명:OZIMETINETab.),"이 약은 식도역류 및 열공헤르니아, 위 십이지장염, 위ㆍ십이지장궤양에 있어서의 소화기능이상 (복통, 소화불량,구역, 구토)과 과민성대장증후군 및 경련성 결장과 소아 질환(습관성 구토, 비감염성 장관 통과 장애(변비, 설사))에 사용합니다.","성인은 1회 1~2정(100~200 mg) 1일 3회 식전에 복용합니다.연령, 증상에 따라 적절히 증감합니다."
9,설사,에세푸릴캡슐(니푸록사지드),이 약은 급성 세균성 설사에 사용합니다.,"성인은 1회 1캡슐(200 mg)을 1일 4회 복용합니다.3일 이상 복용하지 않습니다.복용 기간 동안 수분을 공급하고 설사의 심각도, 환자의 나이와 상태에 따라 수분의 정도와 공급방법을 조절합니다."
0,설염,이벤캡슐,"이 약은 피로, 임신∙수유기, 병중∙병후의 비타민 B2, B6의 보급과 구각염, 구순염, 구내염, 설염, 습진, 피부염, 옻, 짓무름, 여드름 및 피부가 튼 데의 완화에 사용합니다.","성인은 1회 1캡슐씩, 1일 1~2회 복용합니다."
1,설염,오라메디연고{수출명:오라메디파스타(ORAMEDYPASTE)},"이 약은 만성 박리성 치은염, 미란 또는 궤양을 수반하는 난치성 구내염 및 설염에 의한 염증의 완화에 사용합니다.","1일 1~수회 환부에 적당량을 바릅니다.연령, 증상에 따라 적절히 증감할 수 있습니다."
2,설염,제텐씨정,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 B1, B2, B6, C, E의 보급과 구각염, 구순염, 구내염, 설염, 습진, 피부염 증상의 완화, 햇빛,피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸출혈·비출혈(코피) 예방과 아연의 보급에 사용합니다.","만 12세 이상 및 성인은 1회 1정씩, 1일 1회 식후에 복용합니다."
3,설염,아비나파스타(트리암시놀론아세토니드),"이 약은 만성 박리성 치은염, 미란 또는 궤양을 수반하는 난치성 구내염 및 설염에 의한 염증의 완화에 사용합니다.","1일 1~수회 환부에 적당량을 바릅니다.연령, 증상에 따라 적절히 증감할 수 있습니다."
4,설염,페리덱스연고(덱사메타손),이 약은 미란(짓무름) 또는 궤양을 수반하는 난치성 구내염(입안염) 및 설염(혀염)에 의한 염증의 완화에 사용합니다.,"1일 1~수회 환부(질환 부위)에 적당량을 바릅니다.연령(나이), 증상에 따라 적절히 증감할 수 있습니다."
5,설염,벡크정,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B1, B2, B6, C의 보급과 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화, 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸출혈, 비출혈(코피) 예방에 사용합니다.","만 8세 이상 및 성인은 1회 1정씩, 1일 1회 복용합니다."
6,설염,삐콤씨에프정(수출명:유한삐콤씨에프정),"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B1, B2, B6, C의 보급과 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화, 햇빛ㆍ피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸출혈, 비출혈(코피) 예방에 사용합니다.","만 12세 이상 및 성인은 1회 1정씩, 1일 1회 복용합니다."
7,설염,레디비타정,"이 약은 육체피로, 임신‧수유기, 병중‧병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B1, B2, B6, C의 보급과 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화, 햇빛·피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸 출혈 및 비출혈(코피) 예방과 철 결핍성 빈혈의 예방 및 치료에 사용합니다.","성인은 1일 1회, 1회 1정 복용합니다."
8,설염,신일피리독신정(피리독신염산염),"이 약은 약물투여(예: 이소니아지드, 하이드랄라진, 피라진아미드, 페니실라민)로 인한 경우 등 비타민 B6 결핍증의 예방 및 치료와 소모성 질환, 임부․수유부, 에스트로겐제제(예: 경구피임제) 복용자 등 비타민 B6의 수요가 증대하여, 식사로부터의 섭취가 불충분할 경우, 비타민 B6 반응성 빈혈 등 비타민 B6 의존증과 구각염, 구순염, 구내염, 설염, 급․만성 습진, 지루성 습진, 접촉성 피부염, 말초신경염, 방사선장애(숙취, 宿醉) 질환 중 비타민 B6의 결핍 또는 대사장애가 관여한다고 추정되는 경우에 사용합니다.",성인은 1일 10 mg (1/5정)～100 mg (2정)을 복용합니다.비타민 B6 의존증인 경우에는 고용량을 복용할 수 있습니다.
9,설염,지오연질캅셀,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B2의 보급과 말초혈행장애, 갱년기시 어깨ㆍ목결림, 수족저림ㆍ수족냉증(손발이 차가움), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화에 사용합니다.","만 8세 이상의 어린이 및 성인은 1회 1캡슐씩, 1일 1회 복용합니다."
0,소독,포타딘액(포비돈요오드),"이 약은 찢긴 상처, 화상, 창상(상처), 욕창의 살균소독, 궤양, 농양(고름집)의 살균소독, 감염피부면의 소독, 수술 부위의 살균소독, 주사 및 카테터부위의 소독에 사용합니다.",1일 수회(여러 차례) 환부(질환 부위)에 적당량을 바릅니다.
1,소독,알리코클로르헥시딘크림,이 약은 좁은 범위 피부의 창상부위 소독에 사용합니다.,1일 수회 환부(질환 부위)에 적당량을 바릅니다.
2,소독,포타딘연고(포비돈요오드),"이 약은 찢긴 상처, 화상, 창상, 욕창의 살균소독, 궤양, 농양의 살균소독, 감염피부면의 소독, 주사 및 카테터부위의 소독에 사용합니다.",1일 수회(여러 차례) 환부(질환 부위)에 적당량을 바릅니다.필요에 따라 드레싱 또는 붕대로 덮어 줍니다.
3,소독,클로헥신크림,"이 약은 경증의 외상 및 화상, 창상면의 살균소독에 사용합니다.",1일 1~수회 적당량을 환부에 바릅니다.
4,소독,헥사메딘액(클로르헥시딘글루콘산염액),"이 약은 보철(의치)에 의한 염증, 아구창 등의 구강내 칸디다감염증, 치은염, 인두염, 아프타성 구내염에 의한 염증 완화와 치근막 수술후 살균소독에 사용합니다.","1회 15 mL 1일 2회 약 1분 동안 양치질하고, 의치로 인한 구내염의 경우 의치를 1일 2회 15분간 담가 세척합니다.연령, 증상에 따라 적절히 증감합니다."
5,소독,동인당포비돈요오드액,"이 약은 찢긴 상처, 화상, 창상(상처), 욕창의 살균소독, 궤양, 농양(고름집)의 살균소독, 감염피부면의 소독, 수술 부위의 살균소독, 주사 및 카테터부위의 소독에 사용합니다.",1일 수회(여러 차례) 환부(질환 부위)에 적당량을 바릅니다.
6,소독,동인포비돈요오드세정액,"이 약은 수술자의 손 및 팔의 살균소독, 수술부위의 살균소독에 사용합니다.","수술자의 손, 팔의 살균소독 시 이 약 5 mL를 취하여 손과 팔에 약 5분간 잘 문질러 거품을 충분히 낸 후 흐르는 물로 철저히 씻어냅니다.수술부위의 살균소독 시 이 약을 직접 바르거나 또는 적당량을 사용하여 잘 문질러 거품을 충분히 낸 후 멸균거즈로 닦아냅니다."
7,소독,성광리도아가아제,"이 약은 외상, 화상, 창상면의 살균소독, 피복, 화농성 피부질환에 사용합니다.",1일 1회~수회(여러 차례) 환부에 적당한 크기로 잘라 붙입니다.
8,소독,실그린크림(클로르헥시딘글루콘산염액),이 약은 좁은 범위 피부의 창상부위 소독에 사용합니다.,1일 수회 환부(질환 부위)에 적당량을 바릅니다.
9,소독,그린포비돈요오드액(수출명 : Green Povidone-Iodine Topical Solution),"이 약은 찢긴 상처, 화상, 창상(상처), 욕창의 살균소독, 궤양, 농양(고름집)의 살균소독, 감염피부면의 소독, 수술 부위의 살균소독, 주사 및 카테터부위의 소독에 사용합니다.",1일 수회(여러 차례) 환부(질환 부위)에 적당량을 바릅니다.
0,소화불량,활명수,"이 약은 식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토에 사용합니다.","만 15세 이상 및 성인은 1회 1병(75 mL), 만 11세이상~만 15세미만은 1회 2/3병(50 mL), 만 8세 이상~만 11세 미만은 1회 1/2병(37.5 mL), 만 5세 이상~만 8세 미만은 1회 1/3병(25 mL), 만 3세 이상~만 5세 미만은 1회 1/4병(18.75 mL), 만 1세 이상~만 3세 미만은 1회 1/5병(15 mL), 1일 3회 식후에 복용합니다."
1,소화불량,"보화소합원(대환,소환)","이 약은 식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토에 사용합니다.",대환은 1회 1∼2환을 1일 3회 식후에 소량의 물과 함께 복용하십시오.소환은 1회 8∼16환을 1일 3회 식후에 소량의 물과 함께 복용하십시오.
2,소화불량,베스타제정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 식체(위체), 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인은 1회 2정, 11~14세는 1회 1~2정, 8~10세는 1회 1정을 1일 3회 식후에 복용합니다."
3,소화불량,베스타제당의정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 식체(위체), 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인은 1회 2정, 11~14세는 1회 1~2정, 8~10세는 1회 1정을 1일 3회 식후에 복용합니다."
4,소화불량,건위황정,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림, 식욕감퇴(식욕부진), 소화불량, 과식에 사용합니다.","성인 1회 5정, 1일 3회 식간 및 취침시 복용합니다.복용간격은 4시간 이상으로 합니다."
5,소화불량,잘젠정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인은 1회 1~2정 1일 3회 식후에 복용합니다.
6,소화불량,갈타제산(베타-갈락토시다제(아스퍼길루스)),"이 약은 1차성 유당불내증과 2차성 유당불내증(단일증후성 설사, 급성소화불량증, 감기성설사, 백색변성 설사, 만성설사, 미숙아·신생아의 설사, 경관영양식, 경구유동식등의 섭취시 유당불내에 의한 설사)에 의한 소화불량의 개선에 사용합니다.","유아의 유당불내에 의한 소화불량에는 베타갈락토시다제로서 1회 1,250~2,500 ONPG 단위를 수유시 함께 복용합니다.모유영양의 경우에는 소량의 물에 녹여 수유도중에 복용하고, 인공영양의 경우에는 분유에 타서 복용합니다.이 때 조유온도는 50℃를 넘지 않도록 주의합니다.경관영양식, 경구유동식 등의 섭취시 유당불내에 의한 설사에는 섭취유당량 10 g에 대하여 5,000 ONPG단위를 식사와 함께 복용합니다.연령과 증상에 따라 적절히 증감할 수 있습니다."
7,소화불량,제스판골드정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감, 구역, 구토에 사용합니다.",성인은 1회 1정 1일 3회 복용합니다.
8,소화불량,베로타정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인은 1회 1~2정 1일 3회 식후에 복용합니다.
9,소화불량,다이제틴정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인은 1회 1~2정 1일 3회 식후에 복용합니다.
0,속쓰림,아네모정,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림에 사용합니다.","성인 1회 2정, 1일 3회 식간(식사와 식사때 사이) 및 취침시에 복용합니다."
1,속쓰림,겔포스현탁액(인산알루미늄겔),"이 약은 위.십이지장 궤양, 위염, 위산과다(속쓰림, 위통, 구역, 구토)의 제산작용 및 증상의 개선에 사용합니다.","성인은 1회 1포, 1일 3~4회 식간(식사때와 식사때 사이) 및 취침시 복용합니다.연령 또는 증상에 따라 적절히 증감합니다."
2,속쓰림,게루삼정,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림에 사용합니다.","만 15세 이상 및 성인은 1회 2정, 만 8세 이상 15세 미만은 1회 1정, 1일 3회 식간(식사때와 식사때 사이) 및 취침시 복용합니다.복용간격은 4시간 이상으로 합니다."
3,속쓰림,건위황정,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림, 식욕감퇴(식욕부진), 소화불량, 과식에 사용합니다.","성인 1회 5정, 1일 3회 식간 및 취침시 복용합니다.복용간격은 4시간 이상으로 합니다."
4,속쓰림,알마겔현탁액(알마게이트)(수출명:유만겔현탁액),"이 약은 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림의 제산작용 및 증상의 개선에 사용합니다.",성인 및 12세 이상의 소아는 1회 1~1.5 g을 1일 3회 식후 30분~1시간에 복용합니다.필요시 취침 전에 1회 더 복용할 수 있습니다.
5,속쓰림,포리라제정,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부(상복부)팽만감, 체함, 구역, 구토, 위통, 신트림, 소화불량, 식욕감퇴(식욕부진), 과식, 소화촉진, 소화불량으로 인한 위부(상복부)팽만감에 사용합니다.","성인은 1회 1정, 1일 3회 식간(식사때와 식사때 사이에)에 복용합니다."
6,속쓰림,알마겔정(알마게이트)(수출명:유한가스트라겔정),"이 약은 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림의 제산작용 및 증상의 개선에 사용합니다.",성인 및 12세 이상의 소아는 1회 2정(1 g)을 1일 3회 식후 30분~1시간에 씹어서 복용합니다.필요시 취침 전에 1회 더 복용할 수 있습니다.
7,속쓰림,싸이베린정,"이 약은 위통, 복통(배아픔), 산통, 위산과다, 속쓰림에 사용합니다.","만 15세 이상 및 성인은 1회 2정 1일 2~3회, 만 8세 이상~만 15세 미만은 1회 1정 1일 2~3회 식후 또는 식간에 복용합니다.다만, 1일 2회 이상 복용시에는 4시간 이상의 간격을 두고 복용합니다."
8,속쓰림,제일알맥스현탁액(알마게이트),"이 약은 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림의 제산작용 및 증상의 개선에 사용합니다.",성인 및 12세 이상의 소아는 1회 1∼1.5 g을 1일 3회 식후 30분∼1시간에 복용합니다.필요시 취침 전에 1회 더 복용할 수 있습니다.
9,속쓰림,알마겔에프현탁액(알마게이트)(수출명:유만겔에프현탁액),"이 약은 위·십이지장궤양, 위염, 위산과다, 속쓰림, 구역, 구토, 위통, 신트림의 제산작용 및 증상의 개선에 사용합니다.",성인 및 12세 이상의 소아는 1회 1∼1.5 g을 1일 3회 식후 30분∼1시간에 복용합니다.필요시 취침 전에 1회 더 복용할 수 있습니다.
0,습진,페니라민정(클로르페니라민말레산염),"이 약은 고초열(꽃가루 알레르기비염(코염)), 두드러기, 가려움성 피부질환(습진, 피부염, 피부가려움증, 약물발진), 알레르기 비염(코염), 혈관운동성 코염, 코감기에 의한 재채기, 콧물, 기침, 혈관운동성 부기에 사용합니다.",성인은 1회 1~3정(2~6 mg) 1일 2~4회 복용합니다.1일 12정(24 mg)을 초과하지 마십시오.
1,습진,쎄레스톤지크림,"이 약은 2차 감염된 알레르기성 또는 염증성 피부질환 (습진, 접촉피부염, 지루피부염, 아토피피부염, 광피부염, 만성단순태선, 간찰진(피부스침증), 박탈피부염, 가려움, 건선(마른비늘증)), 1도 화상에 사용합니다.",1일 1~3회 환부(질환분위)에 적당량을 바릅니다.
2,습진,태극아즈렌에스연고(구아야줄렌),"이 약은 습진, 열상(화상), 그 외의 질환에 따른 미란 및 궤양에 사용합니다.",1일 수회(여러 차례) 환부에 도포합니다.
3,습진,이벤캡슐,"이 약은 피로, 임신∙수유기, 병중∙병후의 비타민 B2, B6의 보급과 구각염, 구순염, 구내염, 설염, 습진, 피부염, 옻, 짓무름, 여드름 및 피부가 튼 데의 완화에 사용합니다.","성인은 1회 1캡슐씩, 1일 1~2회 복용합니다."
4,습진,리렌스연고(구아야줄렌),"이 약은 습진, 열상(화상), 그 외의 질환에 따른 미란 및 궤양에 사용합니다.",1일 수회(여러 차례) 환부에 도포합니다.
5,습진,태극아즈렌에스크림(구아야줄렌),"이 약은 습진, 열상(화상), 그 외의 질환에 따른 미란 및 궤양에 사용합니다.",1일 수회(여러 차례) 환부에 도포합니다.
6,습진,후시딘연고(퓨시드산나트륨),"이 약은 포도구균, 연쇄구균, 코리네박테륨, 클로스트리듐으로 인한 농가진, 감염성습진양피부염, 심상성여드름(보통여드름), 모낭염, 종기 및 종기증, 화농성한선염, 농가진성습진, 화상ㆍ외상ㆍ봉합창ㆍ식피창에 의한 2차 감염에 사용합니다.",환부를 깨끗이 하고 1일 1~2회 적당량을 환부에 직접 바르거나 무균거즈에 넓게 펴발라 붙입니다.1주 정도로 투여기간을 제한합니다.두껍게 바르지 않습니다.
7,습진,케어번연고(구아야줄렌),"이 약은 습진, 열상(화상), 그 외의 질환에 따른 미란 및 궤양에 사용합니다.",1일 수회(여러 차례) 환부에 도포합니다.
8,습진,마스질정(클레마스틴푸마르산염),"이 약은 알레르기성 비염, 고초열, 두드러기, 소양성 피부질환(소양증, 습진, 피부염), 맥관신경성 부종, 코감기에 의한 재채기, 콧물, 기침에 사용합니다.","성인은 1회 1정(1 mg)을 1일 2회 아침, 저녁으로 복용합니다.1일 2정(2 mg)을 초과하지 마십시오.연령, 증상에 따라 적절히 증감합니다."
9,습진,번세이프크림(구아야줄렌),"이 약은 습진, 열상(화상), 그 외의 질환에 따른 미란 및 궤양에 사용합니다.",1일 수회(여러 차례) 환부에 도포합니다.
0,식욕부진,활명수,"이 약은 식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토에 사용합니다.","만 15세 이상 및 성인은 1회 1병(75 mL), 만 11세이상~만 15세미만은 1회 2/3병(50 mL), 만 8세 이상~만 11세 미만은 1회 1/2병(37.5 mL), 만 5세 이상~만 8세 미만은 1회 1/3병(25 mL), 만 3세 이상~만 5세 미만은 1회 1/4병(18.75 mL), 만 1세 이상~만 3세 미만은 1회 1/5병(15 mL), 1일 3회 식후에 복용합니다."
1,식욕부진,"보화소합원(대환,소환)","이 약은 식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토에 사용합니다.",대환은 1회 1∼2환을 1일 3회 식후에 소량의 물과 함께 복용하십시오.소환은 1회 8∼16환을 1일 3회 식후에 소량의 물과 함께 복용하십시오.
2,식욕부진,베스타제정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 식체(위체), 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인은 1회 2정, 11~14세는 1회 1~2정, 8~10세는 1회 1정을 1일 3회 식후에 복용합니다."
3,식욕부진,베스타제당의정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 식체(위체), 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인은 1회 2정, 11~14세는 1회 1~2정, 8~10세는 1회 1정을 1일 3회 식후에 복용합니다."
4,식욕부진,건위황정,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림, 식욕감퇴(식욕부진), 소화불량, 과식에 사용합니다.","성인 1회 5정, 1일 3회 식간 및 취침시 복용합니다.복용간격은 4시간 이상으로 합니다."
5,식욕부진,트레스탄캡슐,이 약은 식욕부진에 사용합니다.,"성인은 1일 2회, 1회 1캡슐을 아침ㆍ저녁 식전에 8일간 복용하고, 이후부터는 1일 2회, 1회 2캡슐을 아침ㆍ저녁 식전에 복용합니다."
6,식욕부진,잘젠정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인은 1회 1~2정 1일 3회 식후에 복용합니다.
7,식욕부진,제스판골드정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감, 구역, 구토에 사용합니다.",성인은 1회 1정 1일 3회 복용합니다.
8,식욕부진,베로타정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인은 1회 1~2정 1일 3회 식후에 복용합니다.
9,식욕부진,다이제틴정,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인은 1회 1~2정 1일 3회 식후에 복용합니다.
0,신경통,에어신신파스,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증, 피부 가려움, 벌레 물린데, 동창(언 상처)의 진통·소염(항염)에 사용합니다.",수회(여러 차례) 환부(질환 부위)에 적당량을 뿌립니다.
1,신경통,아로나민골드정,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기(간유, 비타민 D, E 함유시)의 비타민 B1, B2, B6, E, C의 보급과 신경통, 근육통, 관절통(요통, 어깨결림 등) 증상의 완화, 각기, 눈의 피로에 사용합니다.","성인은 1회 1정씩, 1일 2회 복용합니다."
2,신경통,뇌선,"이 약은 두통, 치통, 발치후의 동통, 인후통, 귀의통증, 관절통, 신경통, 요통, 근육통, 견통, 타박통, 골절통, 염좌통, 월경통(생리통), 외상통의 진통, 오한, 발열시의 해열에 사용합니다.","성인 1회 1포, 1일 3회를 한도로 하고 공복시를 피하여 복용합니다.복용간격은 4시간 이상으로 합니다."
3,신경통,부루펜정200밀리그램(이부프로펜),"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","성인은 류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에는 1회 1~3정(200~600 mg) 1일 3~4회 1일 최고 16정(3,200 mg)까지 복용할 수 있으며, 연소성 류마티양 관절염에는 1일 체중 kg당 30~40 mg을 3~4회 분할 복용, 경증 및 중등도의 동통이나 감기에는 성인 1회 1~2정(200~400 mg) 1일 3~4회 복용합니다."
4,신경통,게보린정(수출명:돌로린정),"이 약은 두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요(허리)통, 근육통, 견통(어깨통증), 타박통, 골절통, 염좌통(삔 통증), 월경통(생리통), 외상(상처)통의 진통과 오한(춥고 떨리는 증상), 발열시의 해열에 사용합니다.",성인은 1회 1정 1일 3회까지 공복시를 피해 복용합니다.복용간격은 4시간 이상으로 합니다.이 약은 원칙적으로 단기간 복용합니다.
5,신경통,바로론정(클로닉신리시네이트),"이 약은 근육통, 신경통, 외상후 및 수술후 통증, 두통, 치통, 귀통증의 경증 또는 중등도 통증의 완화에 사용합니다.","성인은 1회 1~2정(125∼250 mg), 1일 3회 복용합니다."
6,신경통,녹십자제놀카타플라스마,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증의 진통ㆍ소염(항염)에 사용합니다.",1일 1~2회 환부(질환 부위)에 붙입니다.
7,신경통,부루펜정400밀리그램(이부프로펜),"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에 성인은 1회 1/2정~1.5정(200~600 mg), 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다. 연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며, 경증 및 중등도의 동통이나 감기에는 성인 1회 1/2정~1정(200~400 mg), 1일 3~4회 복용합니다.권장용량을 초과하여 복용하지 마십시오.연령, 증상에 따라 적절히 증감하십시오."
8,신경통,녹십자제놀마일드핫트카타플라스마,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요[허리]통, 어깨결림, 신경통, 류마티스통증의 진통 ㆍ 소염(항염)에 사용합니다.",1일 1~2회 환부(질환 부위)에 부착합니다.
9,신경통,스코펜정400밀리그램(이부프로펜),"이 약은 류마티양 관절염, 연소성 류마티양 관절염, 골관절염(퇴행성 관절질환), 감기로 인한 발열 및 동통, 요통, 월경곤란증, 수술후 동통과 강직성 척추염, 두통, 치통, 근육통, 신경통, 급성통풍, 건선성 관절염, 연조직손상(염좌, 좌상), 비관절 류마티스질환(건염, 건초염, 활액낭염)에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염, 연조직손상, 비관절 류마티스질환, 급성통풍, 건선성 관절염에 성인은 1회 1/2정~1.5정(200~600 mg), 1일 3~4회 복용하며 1일 최고 3200 mg까지 복용할 수 있습니다. 연소성 류마티양 관절염에는 1일 체중 kg당 30-40 mg을 3~4회 분할하여 복용하며, 경증 및 중등도의 동통이나 감기에는 성인 1회 1/2정~1정(200~400 mg), 1일 3~4회 복용합니다.11~14세는 1회 200~250 mg, 7~10세는 1회 150~-200 mg, 3~6세는 1회 100~150 mg, 1~ 2세는 1회 50~100 mg을 1일 3~4회 경구투여합니다.체중이 30 kg 미만인 어린이는 1일량이 500 mg을 초과해서는 안되며 공복시 복용은 피하는 것이 바람직합니다.권장용량을 초과하여 복용하지 마십시오."
0,신트림,아네모정,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림에 사용합니다.","성인 1회 2정, 1일 3회 식간(식사와 식사때 사이) 및 취침시에 복용합니다."
1,신트림,게루삼정,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림에 사용합니다.","만 15세 이상 및 성인은 1회 2정, 만 8세 이상 15세 미만은 1회 1정, 1일 3회 식간(식사때와 식사때 사이) 및 취침시 복용합니다.복용간격은 4시간 이상으로 합니다."
2,신트림,건위황정,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림, 식욕감퇴(식욕부진), 소화불량, 과식에 사용합니다.","성인 1회 5정, 1일 3회 식간 및 취침시 복용합니다.복용간격은 4시간 이상으로 합니다."
